trip_id,arrival_time,departure_time,stop_id
305,5:45:00,5:45:00,70261
305,6:01:00,6:01:00,70211
305,6:09:00,6:09:00,70171
305,6:19:00,6:19:00,70111
305,6:28:00,6:28:00,70061
305,6:47:00,6:47:00,70011
313,6:49:00,6:49:00,70261
313,7:05:00,7:05:00,70211
313,7:13:00,7:13:00,70171
313,7:24:00,7:24:00,70111
313,7:32:00,7:32:00,70061
313,7:52:00,7:52:00,70011
323,7:49:00,7:49:00,70261
323,8:05:00,8:05:00,70211
323,8:13:00,8:13:00,70171
323,8:25:00,8:25:00,70111
323,8:34:00,8:34:00,70061
323,8:54:00,8:54:00,70011
314,6:59:00,6:59:00,70012
314,7:03:00,7:03:00,70022
314,7:16:00,7:16:00,70062
314,7:24:00,7:24:00,70112
314,7:31:00,7:31:00,70142
314,7:37:00,7:37:00,70172
314,7:50:00,7:50:00,70212
314,8:05:00,8:05:00,70262
324,7:59:00,7:59:00,70012
324,8:03:00,8:03:00,70022
324,8:16:00,8:16:00,70062
324,8:24:00,8:24:00,70112
324,8:31:00,8:31:00,70142
324,8:37:00,8:37:00,70172
324,8:50:00,8:50:00,70212
324,9:05:00,9:05:00,70262
366,16:38:00,16:38:00,70012
366,16:55:00,16:55:00,70062
366,17:01:00,17:01:00,70092
366,17:10:00,17:10:00,70142
366,17:17:00,17:17:00,70172
366,17:20:00,17:20:00,70192
366,17:31:00,17:31:00,70222
366,17:46:00,17:46:00,70262
366,17:51:00,17:51:00,70272
376,17:38:00,17:38:00,70012
376,17:55:00,17:55:00,70062
376,18:01:00,18:01:00,70092
376,18:10:00,18:10:00,70142
376,18:17:00,18:17:00,70172
376,18:20:00,18:20:00,70192
376,18:31:00,18:31:00,70222
376,18:46:00,18:46:00,70262
376,18:51:00,18:51:00,70272
360,16:12:00,16:12:00,70012
360,16:28:00,16:28:00,70062
360,16:36:00,16:36:00,70112
360,16:47:00,16:47:00,70172
360,16:56:00,16:56:00,70212
360,17:12:00,17:12:00,70262
370,17:16:00,17:16:00,70012
370,17:34:00,17:34:00,70062
370,17:43:00,17:43:00,70112
370,17:56:00,17:56:00,70172
370,18:03:00,18:03:00,70212
370,18:18:00,18:18:00,70262
380,18:16:00,18:16:00,70012
380,18:34:00,18:34:00,70062
380,18:44:00,18:44:00,70112
380,18:56:00,18:56:00,70172
380,19:03:00,19:03:00,70212
380,19:19:00,19:19:00,70262
309,5:56:00,5:56:00,70271
309,6:04:00,6:04:00,70261
309,6:15:00,6:15:00,70221
309,6:27:00,6:27:00,70171
309,6:33:00,6:33:00,70141
309,6:44:00,6:44:00,70091
309,6:52:00,6:52:00,70061
309,7:09:00,7:09:00,70011
319,6:56:00,6:56:00,70271
319,7:04:00,7:04:00,70261
319,7:15:00,7:15:00,70221
319,7:28:00,7:28:00,70171
319,7:35:00,7:35:00,70141
319,7:45:00,7:45:00,70091
319,7:53:00,7:53:00,70061
319,8:13:00,8:13:00,70011
329,7:59:00,7:59:00,70271
329,8:04:00,8:04:00,70261
329,8:15:00,8:15:00,70221
329,8:28:00,8:28:00,70171
329,8:35:00,8:35:00,70141
329,8:45:00,8:45:00,70091
329,8:53:00,8:53:00,70061
329,9:13:00,9:13:00,70011
371,16:45:00,16:45:00,70261
371,16:59:00,16:59:00,70211
371,17:07:00,17:07:00,70171
371,17:13:00,17:13:00,70141
371,17:20:00,17:20:00,70111
371,17:32:00,17:32:00,70061
371,17:47:00,17:47:00,70021
371,17:53:00,17:53:00,70011
381,17:45:00,17:45:00,70261
381,17:59:00,17:59:00,70211
381,18:07:00,18:07:00,70171
381,18:13:00,18:13:00,70141
381,18:20:00,18:20:00,70111
381,18:32:00,18:32:00,70061
381,18:47:00,18:47:00,70021
381,18:53:00,18:53:00,70011
365,16:24:00,16:24:00,70261
365,16:38:00,16:38:00,70211
365,16:46:00,16:46:00,70171
365,16:49:00,16:49:00,70161
365,16:55:00,16:55:00,70141
365,17:12:00,17:12:00,70061
365,17:26:00,17:26:00,70021
365,17:33:00,17:33:00,70011
375,17:20:00,17:20:00,70261
375,17:34:00,17:34:00,70211
375,17:42:00,17:42:00,70171
375,17:45:00,17:45:00,70161
375,17:51:00,17:51:00,70141
375,18:08:00,18:08:00,70061
375,18:23:00,18:23:00,70021
375,18:29:00,18:29:00,70011
385,18:20:00,18:20:00,70261
385,18:34:00,18:34:00,70211
385,18:42:00,18:42:00,70171
