trip_id,arrival_time,departure_time,stop_id
801,9:51:00,9:51:00,70261
801,10:01:00,10:01:00,70221
801,10:06:00,10:06:00,70211
801,10:13:00,10:13:00,70171
801,10:20:00,10:20:00,70141
801,10:27:00,10:27:00,70111
801,10:32:00,10:32:00,70091
801,10:40:00,10:40:00,70061
801,11:00:00,11:00:00,70011
803,17:21:00,17:21:00,70261
803,17:31:00,17:31:00,70221
803,17:36:00,17:36:00,70211
803,17:43:00,17:43:00,70171
803,17:50:00,17:50:00,70141
803,17:57:00,17:57:00,70111
803,18:02:00,18:02:00,70091
803,18:10:00,18:10:00,70061
803,18:30:00,18:30:00,70011
441,22:08:00,22:08:00,70261
441,22:13:00,22:13:00,70241
441,22:19:00,22:19:00,70231
441,22:23:00,22:23:00,70221
441,22:29:00,22:29:00,70211
441,22:33:00,22:33:00,70201
441,22:37:00,22:37:00,70191
441,22:42:00,22:42:00,70171
441,22:45:00,22:45:00,70161
441,22:49:00,22:49:00,70151
441,22:53:00,22:53:00,70141
441,22:58:00,22:58:00,70131
441,23:02:00,23:02:00,70121
441,23:05:00,23:05:00,70111
441,23:09:00,23:09:00,70101
441,23:12:00,23:12:00,70091
441,23:16:00,23:16:00,70081
441,23:20:00,23:20:00,70071
441,23:23:00,23:23:00,70061
441,23:28:00,23:28:00,70051
441,23:33:00,23:33:00,70041
441,23:39:00,23:39:00,70031
441,23:45:00,23:45:00,70021
441,23:52:00,23:52:00,70011
432,15:37:00,15:37:00,70012
432,15:41:00,15:41:00,70022
432,15:48:00,15:48:00,70032
432,15:54:00,15:54:00,70042
432,16:00:00,16:00:00,70052
432,16:04:00,16:04:00,70062
432,16:08:00,16:08:00,70072
432,16:11:00,16:11:00,70082
432,16:15:00,16:15:00,70092
432,16:18:00,16:18:00,70102
432,16:22:00,16:22:00,70112
432,16:26:00,16:26:00,70122
432,16:29:00,16:29:00,70132
432,16:34:00,16:34:00,70142
432,16:39:00,16:39:00,70152
432,16:42:00,16:42:00,70162
432,16:46:00,16:46:00,70172
432,16:50:00,16:50:00,70192
432,16:54:00,16:54:00,70202
432,16:59:00,16:59:00,70212
432,17:04:00,17:04:00,70222
432,17:08:00,17:08:00,70232
432,17:14:00,17:14:00,70242
432,17:22:00,17:22:00,70262
422,8:07:00,8:07:00,70012
422,8:11:00,8:11:00,70022
422,8:18:00,8:18:00,70032
422,8:24:00,8:24:00,70042
422,8:30:00,8:30:00,70052
422,8:34:00,8:34:00,70062
422,8:38:00,8:38:00,70072
422,8:41:00,8:41:00,70082
422,8:45:00,8:45:00,70092
422,8:48:00,8:48:00,70102
422,8:52:00,8:52:00,70112
422,8:56:00,8:56:00,70122
422,8:59:00,8:59:00,70132
422,9:04:00,9:04:00,70142
422,9:09:00,9:09:00,70152
422,9:12:00,9:12:00,70162
422,9:16:00,9:16:00,70172
422,9:20:00,9:20:00,70192
422,9:24:00,9:24:00,70202
422,9:29:00,9:29:00,70212
422,9:34:00,9:34:00,70222
422,9:38:00,9:38:00,70232
422,9:44:00,9:44:00,70242
422,9:52:00,9:52:00,70262
433,16:08:00,16:08:00,70261
433,16:13:00,16:13:00,70241
433,16:19:00,16:19:00,70231
433,16:23:00,16:23:00,70221
433,16:29:00,16:29:00,70211
433,16:33:00,16:33:00,70201
433,16:37:00,16:37:00,70191
433,16:42:00,16:42:00,70171
433,16:45:00,16:45:00,70161
433,16:49:00,16:49:00,70151
433,16:53:00,16:53:00,70141
433,16:58:00,16:58:00,70131
433,17:02:00,17:02:00,70121
433,17:05:00,17:05:00,70111
433,17:09:00,17:09:00,70101
433,17:12:00,17:12:00,70091
433,17:16:00,17:16:00,70081
433,17:20:00,17:20:00,70071
433,17:23:00,17:23:00,70061
433,17:28:00,17:28:00,70051
433,17:33:00,17:33:00,70041
433,17:39:00,17:39:00,70031
433,17:45:00,17:45:00,70021
433,17:52:00,17:52:00,70011
434,17:07:00,17:07:00,70012
434,17:11:00,17:11:00,70022
434,17:18:00,17:18:00,70032
434,17:24:00,17:24:00,70042
434,17:30:00,17:30:00,70052
434,17:34:00,17:34:00,70062
434,17:38:00,17:38:00,70072
434,17:41:00,17:41:00,70082
434,17:45:00,17:45:00,70092
434,17:48:00,17:48:00,70102
434,17:52:00,17:52:00,70112
434,17:56:00,17:56:00,70122
434,17:59:00,17:59:00,70132
434,18:04:00,18:04:00,70142
434,18:09:00,18:09:00,70152
434,18:12:00,18:12:00,70162
434,18:16:00,18:16:00,70172
434,18:20:00,18:20:00,70192
434,18:24:00,18:24:00,70202
434,18:29:00,18:29:00,70212
434,18:34:00,18:34:00,70222
434,18:38:00,18:38:00,70232
434,18:44:00,18:44:00,70242
434,18:52:00,18:52:00,70262
424,9:37:00,9:37:00,70012
424,9:41:00,9:41:00,70022
424,9:48:00,9:48:00,70032
424,9:54:00,9:54:00,70042
424,10:00:00,10:00:00,70052
424,10:04:00,10:04:00,70062
424,10:08:00,10:08:00,70072
424,10:11:00,10:11:00,70082
424,10:15:00,10:15:00,70092
424,10:18:00,10:18:00,70102
424,10:22:00,10:22:00,70112
424,10:26:00,10:26:00,70122
424,10:29:00,10:29:00,70132
424,10:34:00,10:34:00,70142
424,10:39:00,10:39:00,70152
424,10:42:00,10:42:00,70162
424,10:46:00,10:46:00,70172
424,10:50:00,10:50:00,70192
424,10:54:00,10:54:00,70202
424,10:59:00,10:59:00,70212
424,11:04:00,11:04:00,70222
424,11:08:00,11:08:00,70232
424,11:14:00,11:14:00,70242
424,11:22:00,11:22:00,70262
436,18:37:00,18:37:00,70012
436,18:41:00,18:41:00,70022
436,18:48:00,18:48:00,70032
436,18:54:00,18:54:00,70042
436,19:00:00,19:00:00,70052
436,19:04:00,19:04:00,70062
436,19:08:00,19:08:00,70072
436,19:11:00,19:11:00,70082
436,19:15:00,19:15:00,70092
436,19:18:00,19:18:00,70102
436,19:22:00,19:22:00,70112
436,19:26:00,19:26:00,70122
436,19:29:00,19:29:00,70132
436,19:34:00,19:34:00,70142
436,19:39:00,19:39:00,70152
436,19:42:00,19:42:00,70162
436,19:46:00,19:46:00,70172
436,19:50:00,19:50:00,70192
436,19:54:00,19:54:00,70202
436,19:59:00,19:59:00,70212
436,20:04:00,20:04:00,70222
436,20:08:00,20:08:00,70232
436,20:14:00,20:14:00,70242
436,20:22:00,20:22:00,70262
426,11:07:00,11:07:00,70012
426,11:11:00,11:11:00,70022
426,11:18:00,11:18:00,70032
426,11:24:00,11:24:00,70042
426,11:30:00,11:30:00,70052
426,11:34:00,11:34:00,70062
426,11:38:00,11:38:00,70072
426,11:41:00,11:41:00,70082
426,11:45:00,11:45:00,70092
426,11:48:00,11:48:00,70102
426,11:52:00,11:52:00,70112
426,11:56:00,11:56:00,70122
426,11:59:00,11:59:00,70132
426,12:04:00,12:04:00,70142
426,12:09:00,12:09:00,70152
426,12:12:00,12:12:00,70162
426,12:16:00,12:16:00,70172
426,12:20:00,12:20:00,70192
426,12:24:00,12:24:00,70202
426,12:29:00,12:29:00,70212
426,12:34:00,12:34:00,70222
426,12:38:00,12:38:00,70232
426,12:44:00,12:44:00,70242
426,12:52:00,12:52:00,70262
438,20:07:00,20:07:00,70012
438,20:11:00,20:11:00,70022
438,20:18:00,20:18:00,70032
438,20:24:00,20:24:00,70042
438,20:30:00,20:30:00,70052
438,20:34:00,20:34:00,70062
438,20:38:00,20:38:00,70072
438,20:41:00,20:41:00,70082
438,20:45:00,20:45:00,70092
438,20:48:00,20:48:00,70102
438,20:52:00,20:52:00,70112
438,20:56:00,20:56:00,70122
438,20:59:00,20:59:00,70132
438,21:04:00,21:04:00,70142
438,21:09:00,21:09:00,70152
438,21:12:00,21:12:00,70162
438,21:16:00,21:16:00,70172
438,21:20:00,21:20:00,70192
438,21:24:00,21:24:00,70202
438,21:29:00,21:29:00,70212
438,21:34:00,21:34:00,70222
438,21:38:00,21:38:00,70232
438,21:44:00,21:44:00,70242
438,21:52:00,21:52:00,70262
428,12:37:00,12:37:00,70012
428,12:41:00,12:41:00,70022
428,12:48:00,12:48:00,70032
428,12:54:00,12:54:00,70042
428,13:00:00,13:00:00,70052
428,13:04:00,13:04:00,70062
428,13:08:00,13:08:00,70072
428,13:11:00,13:11:00,70082
428,13:15:00,13:15:00,70092
428,13:18:00,13:18:00,70102
428,13:22:00,13:22:00,70112
428,13:26:00,13:26:00,70122
428,13:29:00,13:29:00,70132
428,13:34:00,13:34:00,70142
428,13:39:00,13:39:00,70152
428,13:42:00,13:42:00,70162
428,13:46:00,13:46:00,70172
428,13:50:00,13:50:00,70192
428,13:54:00,13:54:00,70202
